,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,oberserver,notes,length_of_observation,date,cage_#,winner,loser,action,1,2,3,4,sheet_name,session_number_difference,,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,experiment_type,cohort
79,40,3.2,3.1,896.5,892.9,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
80,41,3.1,3.4,1163.8,1168.6,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
81,41,3.4,3.1,962.6,957.8,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
82,42,3.1,3.4,1168.6,1173.2,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
83,42,3.4,3.1,957.8,953.2,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
84,43,3.1,3.2,1173.2,1176.5,1,1,4,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
85,43,3.2,3.1,892.9,889.6,0,4,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
86,44,3.1,3.4,1176.5,1180.8,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
87,44,3.4,3.1,953.2,948.9,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
88,45,3.1,3.4,1180.8,1185.0,1,1,3,0,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
89,45,3.4,3.1,948.9,944.7,0,3,1,1,Naeliz,"homecage observation in their regular homecage, all animals present no tube testing before. ",,2022-05-13,3.0,3.1,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
0,1,4.4,4.3,1000.0,1010.0,1,1,2,0,Naeliz,"observed in homecage, no seperation prior, no tube test prior",30 min,2022-05-02,4.0,4.4,4.3,f,,,,,CAGE4,,CAGE4,4,4,4,4,home_cage_observations,pilot_1
1,1,4.3,4.4,1000.0,990.0,0,2,1,1,Naeliz,"observed in homecage, no seperation prior, no tube test prior",30 min,2022-05-02,4.0,4.4,4.3,f,,,,,CAGE4,,CAGE4,4,4,4,4,home_cage_observations,pilot_1
